"slug","name.en","name.he","roles.he","sex.en","sex.he","is_current","party","img_url"
"slug","str","str","str","str","str","bool","ref:gov/knesset/parties","str"
"liberman_avigdor","Liberman Avigdor","אביגדור ליברמן","סגן ראש הממשלה, שר החוץ","Male","זכר",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/liberman_avigdor-s.jpg"
"dicter_abraham","Dicter Abraham","אבי (משה) דיכטר","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/dicter_abraham-s.jpg"
"braverman_avishay","Braverman Avishay","אבישי ברוורמן","חבר כנסת באופוזיציה","Male","זכר",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/braverman_avishay-s.jpg"
"sarsur_ibrahim","Sarsur Ibrahim","אברהים צרצור","חבר כנסת באופוזיציה","Male","זכר",TRUE,"raam_taal","http://www.knesset.gov.il/mk/images/members/sarsur_ibrahim-s.jpg"
"michaeli_avraham","Michaeli Avraham","אברהם מיכאלי","חבר כנסת בקואליציה","Male","זכר",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/michaeli_avraham-s.jpg"
"barak_ehud","Barak Ehud","אהוד ברק","סגן ראש הממשלה, שר הביטחון","Male","זכר",TRUE,"haatzmaut","http://www.knesset.gov.il/mk/images/members/barak_ehud-s.jpg"
"akunis_ofir","Akunis Ofir","אופיר אקוניס","חבר כנסת בקואליציה","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/akunis_ofir-s.jpg"
"pinespaz_ofir","Pinespaz Ofir","אופיר פינס-פז","חבר כנסת לשעבר","Male","זכר",FALSE,"haavoda","http://www.knesset.gov.il/mk/images/members/pinespaz_ofir-s.jpg"
"Orbach_Uri","Orbach Uri","אורי אורבך","חבר כנסת בקואליציה","Male","זכר",TRUE,"habait_hayehudi","http://www.knesset.gov.il/mk/images/members/Orbach_Uri-s.jpg"
"ariel_uri-yehuda","Ariel Uri-Yehuda","אורי יהודה אריאל","חבר כנסת באופוזיציה","Male","זכר",TRUE,"haichud_haleumi","http://www.knesset.gov.il/mk/images/members/ariel_uri-yehuda-s.jpg"
"uri_maklev","Uri Maklev","אורי מקלב","יו""ר ועדה מיוחדת לפניות הציבור","Male","זכר",TRUE,"yehadut_hatora","http://www.knesset.gov.il/mk/images/members/uri_maklev-s.jpg"
"Zuaretz_Orit","Zuaretz Orit","אורית זוארץ","חברת כנסת באופוזיציה","Female","נקבה",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Zuaretz_Orit-s.jpg"
"noked_orit","Noked Orit","אורית נוקד","שרת החקלאות ופיתוח הכפר","Female","נקבה",TRUE,"haatzmaut","http://www.knesset.gov.il/mk/images/members/noked_orit-s.jpg"
"Levy_Orli","Levy Orli","אורלי לוי-אבקסיס","חברת כנסת בקואליציה","Female","נקבה",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/Levy_Orli-s.jpg"
"tibi_ahmed","Tibi Ahmed","אחמד טיבי","יו""ר ועדת חקירה פרלמנטרית בנושא קליטת עובדים ערבים בשירות הציבורי","Male","זכר",TRUE,"raam_taal","http://www.knesset.gov.il/mk/images/members/tibi_ahmed-s.jpg"
