"slug","name.en","name.he","roles.he","sex.en","sex.he","is_current","party","img_url"
"slug","str","str","str","str","str","bool","ref:gov/knesset/party","str"
"liberman_avigdor","Liberman Avigdor","??????? ??????","??? ??? ??????, ?? ????","Male","???",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/liberman_avigdor-s.jpg"
"dicter_abraham","Dicter Abraham","??? (???) ?????","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/dicter_abraham-s.jpg"
"braverman_avishay","Braverman Avishay","????? ???????","??? ???? ??????????","Male","???",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/braverman_avishay-s.jpg"
"sarsur_ibrahim","Sarsur Ibrahim","?????? ?????","??? ???? ??????????","Male","???",TRUE,"raam_taal","http://www.knesset.gov.il/mk/images/members/sarsur_ibrahim-s.jpg"
"michaeli_avraham","Michaeli Avraham","????? ??????","??? ???? ?????????","Male","???",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/michaeli_avraham-s.jpg"
"barak_ehud","Barak Ehud","???? ???","??? ??? ??????, ?? ???????","Male","???",TRUE,"haatzmaut","http://www.knesset.gov.il/mk/images/members/barak_ehud-s.jpg"
"akunis_ofir","Akunis Ofir","????? ??????","??? ???? ?????????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/akunis_ofir-s.jpg"
"pinespaz_ofir","Pinespaz Ofir","????? ????-??","??? ???? ?????","Male","???",FALSE,"haavoda","http://www.knesset.gov.il/mk/images/members/pinespaz_ofir-s.jpg"
"Orbach_Uri","Orbach Uri","???? ?????","??? ???? ?????????","Male","???",TRUE,"habait_hayehudi","http://www.knesset.gov.il/mk/images/members/Orbach_Uri-s.jpg"
"ariel_uri-yehuda","Ariel Uri-Yehuda","???? ????? ?????","??? ???? ??????????","Male","???",TRUE,"haichud_haleumi","http://www.knesset.gov.il/mk/images/members/ariel_uri-yehuda-s.jpg"
"uri_maklev","Uri Maklev","???? ????","??""? ???? ?????? ?????? ??????","Male","???",TRUE,"yehadut_hatora","http://www.knesset.gov.il/mk/images/members/uri_maklev-s.jpg"
"Zuaretz_Orit","Zuaretz Orit","????? ?????","???? ???? ??????????","Female","????",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Zuaretz_Orit-s.jpg"
"noked_orit","Noked Orit","????? ????","??? ??????? ?????? ????","Female","????",TRUE,"haatzmaut","http://www.knesset.gov.il/mk/images/members/noked_orit-s.jpg"
"Levy_Orli","Levy Orli","????? ???-??????","???? ???? ?????????","Female","????",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/Levy_Orli-s.jpg"
"tibi_ahmed","Tibi Ahmed","???? ????","??""? ???? ????? ????????? ????? ????? ?????? ????? ?????? ???????","Male","???",TRUE,"raam_taal","http://www.knesset.gov.il/mk/images/members/tibi_ahmed-s.jpg"
"kara_ayoob","Kara Ayoob","???? ???","??? ?? ?????? ???? ??????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/kara_ayoob-s.jpg"
"gilon_ilan","Gilon Ilan","???? ??????","??? ???? ??????????","Male","???",TRUE,"meretz","http://www.knesset.gov.il/mk/images/members/gilon_ilan-s.jpg"
"cabel_eitan","Cabel Eitan","???? ???","??? ???? ??????????","Male","???",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/cabel_eitan-s.jpg"
"aflalo_eli","Aflalo Eli","??? ?????","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/aflalo_eli-s.jpg"
"yishai_eli","Yishai Eli","????? ???","??? ??? ??????, ?? ?????","Male","???",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/yishai_eli-s.jpg"
"Miller_Alex","Miller Alex","???? ????","??""? ???? ??????, ?????? ???????","Male","???",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/Miller_Alex-s.jpg"
"cohen_amnon","Cohen Amnon","????? ???","??? ???? ?????????","Male","???",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/cohen_amnon-s.jpg"
"Michaeli_Anastassia","Michaeli Anastassia","??????? ??????","???? ???? ?????????","Female","????",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/Michaeli_Anastassia-s.jpg"
"atias_ariel","Atias Ariel","????? ?????","?? ?????? ???????","Male","???",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/atias_ariel-s.jpg"
