"slug","name.en","name.he","is_coalition","seats",,
"balad","Balad","בל""ד","n",3,,
"haichud_haleumi","HaIchud HaLeumi","האיחוד הלאומי","n",4,,
"habait_hayehudi","HaBait HaYehudi","הבית היהודי","y",3,,
"halikud","HaLikud","הליכוד","y",27,,
"haavoda","HaAvoda","העבודה","n",8,,
"yehadut_hatora","HaAtzmaut","העצמאות","y",5,,
"hadash","Hadash","חד""ש","n",4,,
"yehadut_hatora","Yehadut Hatora","יהדות התורה","y",5,,
"israel_beytenu","Israel Beytenu","ישראל ביתנו","y",15,," "
"meretz","Meretz","מרצ","n",3,,
"kadima","Kadima","קדימה","n",28,,
"raam_taal","Raam-Taal","רע""ם-תע""ל","n",4,,
"shas","Shas","ש""ס","y",11,,
