slug,title,link,description,type,lat,lon
b913c642-ed46-4e78-ac19-3ecd77aae266,הרשות לזכויות ניצולי השואה, http://ozar.mof.gov.il/shoarights/," 
תל אביב: רח' יצחק שדה 17
<br>
טלפון 03-5682651

		",Pay,32.0657015444,34.7858641052
270804ac-bfdd-457d-bd35-bc3f5c80159c,ועידת התביעות- פיצויים מגרמניה,http://www.claimscon.co.il/new/," 
רח' הארבעה 8, תל-אביב
<br>
טלפון 03-5194400

	",Pay,32.0703429148,34.7835681343
7a9e96f5-8504-4290-bd8c-fa37f259e580,"הלשכה לענייני פיצויים אישיים מחו""ל",http://www.finance.gov.il/structure2.htm#12," 
רח' אחד העם 9 (מגדל שלום), תל אביב
<br>
טלפון 03-6234100

	",Pay,32.0640786002,34.7694650793
729093f4-9557-42bc-b64d-301d5e4ddecc,אביב לניצולי השואה, http://www.avivshoa.co.il/," 
		ת""ד 201 נחלים 49950
		<br>
072-2424404 (תא קולי)
<br>
 <a href=""http://www.avivshoa.co.il/index.php?UrlID_Category=43"" target=""_blank"">פניה באי מייל</a>

		",Rights,32.0604825625,34.9130008125
fb210095-f09b-4186-b8fd-383ae0153953,מרכז הארגונים של ניצולי השואה בישראל,http://www.holocaust-s.org/," 
רח' אמיל בוטה 12, ירושלים
<br>
טלפון 02-6231737

	",Rights,31.7748961217,35.2246305848
3180a0e2-cbf5-42d1-85d2-fc5b85c7e70b,"עמותת ""עמך"" ירושלים",http://www.amcha.org/index.htm,"
רח' הלל 23, ירושלים <br />
ת.ד. 2930, ירושלים 91029 <br />
טל': 02-6250745 <br />
קו מידע ארצי 1-800-27-66-55 <br />
פקס: 02-6250669 <br />
<a href=""mailto:amcha_jerusalem@amcha.org"">amcha_jerusalem@amcha.org</a> <br />
מנהלת: יוהנה גוטספלד

	",Support,31.7802362168,35.2183166647
ec8079d8-17b1-40ff-b7e6-a95e54adc312,"עמותת ""עמך"" תל-אביב",http://www.amcha.org/index.htm,"
רח' מזא""ה 58, תל-אביב 65789 <br />
טל': 03-5665701-4 <br />
קו מידע ארצי 1-800-27-66-55 <br />
פקס: 03-5660817 <br />
<a href=""mailto:amcha_tel_aviv@amcha.org"">amcha_tel_aviv@amcha.org</a> <br />
מנהלת: חני אורון <br />

	",Support,32.0653196778,34.7795072699
8b7f1393-46a0-4e23-9333-37cdb493de4e,"עמותת ""עמך"" רמת-גן",http://www.amcha.org/index.htm,"
רח' הרצל 44, רמת גן 52452 <br />
טל': 03-6130425 <br />
קו מידע ארצי 1-800-27-66-55 <br />
פקס: 03-6730754 <br />
מנהלתה: אירית ברנע <br />

	",Support,32.0835702098,34.8155668878
f544f61d-b7ee-48d1-b5a0-ce1b3b813199,"עמותת ""עמך"" חולון",http://www.amcha.org/index.htm,"
רח' הרצוג 14, חולון 58343 <br />
טל': 03-5584054 <br />
קו מידע ארצי 1-800-27-66-55 <br />
פקס: 03-5584352 <br />
<a href=""mailto:amcha_holon@amcha.org"">amcha_holon@amcha.org</a> <br />
מנהלת: אורה אהרון שטרית

	",Support,32.0197069779,34.7808322811
e27a9bd1-8e2f-4f16-b495-b9e39e4988ad,"עמותת ""עמך"" פתח-תקוה",http://www.amcha.org/index.htm,"
רח' ההסתדרות 19, פתח-תקוה <br />
טל': 03-9300577 <br />
קו מידע ארצי 1-800-27-66-55 <br />
טל/פקס: 03-9390618 <br />
<a href=""mailto:amcha_petah_tikva@amcha.org"">amcha_petah_tikva@amcha.org</a> <br />
מנהלת: רויטל נגר

	",Support,32.08604,34.88644
a10270d2-c742-4d1a-8a11-6914fa3224f9,"עמותת ""עמך"" חיפה",http://www.amcha.org/index.htm,"
שד' הנשיא 95, חיפה 34642 <br />
טל': 04-8375649 <br />
קו מידע ארצי 1-800-27-66-55 <br />
פקס: 04-8360352 <br />
<a href=""mailto:amcha_haifa@amcha.org"">amcha_haifa@amcha.org</a> <br />
מנהלת: דליה סיון

	",Support,32.80848,34.98577
d118b4f9-d72f-4879-bac1-783db912ebb4,"עמותת ""עמך"" מוצקין",http://www.amcha.org/index.htm,"
יוני נתניהו 8, קריית מוצקין 26417 <br />
טל': 04-8766967  <br />
קו מידע ארצי 1-800-27-66-55 <br />
פקס: 04-8750830 <br />
<a href=""mailto:amcha_motzkin@amcha.org"">amcha_motzkin@amcha.org</a> <br />
מנהלת: אלית יהודה

	",Support,32.84208,35.08661
133d9e63-4770-4cb2-bb48-aa5d0518efa6,"עמותת ""עמך"" באר שבע",http://www.amcha.org/index.htm,"
 רח' הרצל 91, באר שבע 84220  <br />
טל': 08-6270224 <br />
קו מידע ארצי 1-800-27-66-55 <br />
פקס: 08-6234535 <br />
<a href=""mailto:amcha_beer_sheva@amcha.org"">amcha_beer_sheva@amcha.org</a> <br />
מנהלת: ד""ר בלה קנטור

	",Support,31.24296,34.79117
c0de3a57-feb0-4a94-a024-5d228780a8ac,"עמותת ""עמך"" אשקלון",http://www.amcha.org/index.htm,"
יוהנסבורג 25, אפרידר, אשקלון 78433 <br />
טל': 08-6710545, 08-6847328-9 <br />
פקס: 08-6847327 <br />
קו מידע ארצי 1-800-27-66-55 <br />
<a href=""mailto:amcha_ashkelon@amcha.org"">amcha_ashkelon@amcha.org</a> <br />
מנהלת: מרלן מאור

	",Support,31.67876,34.56898
